abstract,aspect-care,care-setting,category,city,community,contract-number,dates,funded-amount,location,organization,principal-investigator,profile_url,status,target-population,technology,title
,Protected Health Information Data Sharing,Ambulatory;Community Health Center;Home;Inpatient;Long-Term Care,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Britt,Rural,,,"$199,976",Iowa,Hancock County Health Services,"Ebeling, Toni",https://healthit.ahrq.gov/ahrq-funded-projects/emr-planning-improve-north-iowa-health-care,Closed,Medically Underserved;Rural Health,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),EMR Planning to Improve North Iowa Health Care (Iowa)
,Protected Health Information Data Sharing,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,DuBois,Rural,,,"$1,500,000",Pennsylvania,Dubois Regional Medical Center,"Johnson, Thomas",https://healthit.ahrq.gov/ahrq-funded-projects/enhancing-patient-safety-through-universal-emr-system,Closed,Chronic Care;Congestive Heart Failure (CHF);Diabetes;End of Life Care;Low-SES/Low Income;Pediatric;Rural Health;Uninsured;Women,Clinical Information Systems;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Internet;PDA (Personal Digital Assistant),Enhancing Patient Safety through a Universal EMR System (Pennsylvania)
,Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Ambulatory;Inpatient;Long-Term Care,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Madison,Rural,,,"$200,000",West Virginia,Boone Memorial Hospital,"Atkins, Robert",https://healthit.ahrq.gov/ahrq-funded-projects/boone-county-community-care-network,Closed,Low-SES/Low Income;Medically Underserved;Rural Health;Uninsured,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),Boone County Community Care Network (West Virginia)
,Acute Care;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement;Specialty Care,Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Nashville,Non-rural;Rural,,,"$198,650",Tennessee,Vanderbilt University,"Higgins, Michael",https://healthit.ahrq.gov/ahrq-funded-projects/improving-quality-and-safety-regional-surgical-patient-care-through-creation,Closed,General,Clinical Data Repository;Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Improving the Quality and Safety of Regional Surgical Patient Care through the Creation of a Multi-institutional Partnership for the Implementation and Support of Perioperative Informatics Tools (Tennessee)
,Protected Health Information Data Sharing;Specialty Care,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Hattiesburg,Rural,,,"$200,000",Mississippi,University of Southern Mississippi,"Siders, Jane",https://healthit.ahrq.gov/ahrq-funded-projects/creating-online-nicu-networks-educate-consult-team,Closed,Children with Special Health Care Needs (CSHCN);Pediatric;Rural Health,Clinical Data Repository;Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Continuity of Care Record;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),"Creating Online NICU Networks to Educate, Consult & Team (Mississippi)"
,Protected Health Information Data Sharing,Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Portland,Rural,,,"$976,791",Maine,Maine Medical Center,"Coleman, Robert",https://healthit.ahrq.gov/ahrq-funded-projects/improving-care-rural-region-consolidated-imaging,Closed,Rural Health,Bar Coding;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Master Patient Index;Picture Archiving and Communication System;Wide Area Network,Improving Care in a Rural Region with Consolidated Imaging (Maine)
,Protected Health Information Data Sharing;Quality Measurement/Quality Improvement;Specialty Care,Ambulatory,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Memphis,Rural,,,"$1,389,923",Tennessee,University of Tennessee Health Science Center,"Waters, Teresa",https://healthit.ahrq.gov/ahrq-funded-projects/technology-exchange-cancer-health-network-tech-net,Closed,Adults;Cancer;Medically Underserved;Racial/Ethnic Minorities;Rural Health,Clinical Information Systems;Interactive Video;Telehealth Technology,Technology Exchange for Cancer Health Network (TECH-Net) (Tennessee)
,Acute Care;Protected Health Information Data Sharing,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Weiser,Rural,,,"$179,198",Idaho,Weiser Memorial Hospital,"Oglevie, Anne",https://healthit.ahrq.gov/ahrq-funded-projects/rural-connection-strengthening-care-through-technology,Closed,Rural Health,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Rural Connection: Strengthening Care Through Technology (Idaho)
,Acute Care;Quality Measurement/Quality Improvement,Ambulatory;Home;Long-Term Care,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Charleston,Rural,,,"$889,221",West Virginia,West Virginia Medical Institute,"Bellamy, Gail",https://healthit.ahrq.gov/ahrq-funded-projects/partnering-improve-patient-safety-rural-wv,Closed,Rural Health,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Internet;Results Reporting,Partnering to Improve Patient Safety in Rural WV (West Virginia)
,Chronic Disease Management;Protected Health Information Data Sharing,Ambulatory;Inpatient;Laboratory;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Implementation Grants,Watsonville,Rural,,,"$1,352,725",California,Pajaro Valley Community Health,"Littman, Eleanor",https://healthit.ahrq.gov/ahrq-funded-projects/santa-cruz-county-diabetes-mellitus-registry,Closed,Chronic Care;Diabetes;Safety Net,Clinical Decision Support (CDS) System;Disease Registries;Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet,Santa Cruz County Diabetes Mellitus Registry (California)
,Medication Management;Protected Health Information Data Sharing,Ambulatory;Health Department;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Franklin,Rural,,,"$200,000",Louisiana,Franklin Foundation Hospital,"Lemming, Michelle",https://healthit.ahrq.gov/ahrq-funded-projects/hit-service-integration,Closed,Low-SES/Low Income;Racial/Ethnic Minorities;Rural Health;Safety Net,Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),HIT Service Integration (Louisiana)
,Chronic Disease Management;Primary Care;Quality Measurement/Quality Improvement,Ambulatory,Demonstrating the Value of Health Information Technology,Oakland,Non-rural;Rural,,,"$1,497,264",California,Kaiser Foundation Research Institute,"Hsu, John",https://healthit.ahrq.gov/ahrq-funded-projects/impact-health-information-technology-clinical-care,Closed,Asthma;Chronic Care;Coronary Artery Disease;Diabetes;HIV/AIDS;Women,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR),Impact of Health Information Technology on Clinical Care (California)
,Protected Health Information Data Sharing,Ambulatory;Behavioral Health;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Lincoln,Rural,,,"$198,772",Nebraska,Chadron Community Hospital and Health Services,"Shank, Nancy",https://healthit.ahrq.gov/ahrq-funded-projects/regional-health-records-frontier-communities,Closed,Rural Health,Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Standards,Regional Health Records for Frontier Communities (Nebraska)
,Protected Health Information Data Sharing;Quality Measurement/Quality Improvement,Ambulatory;Behavioral Health;Community Health Center;Home;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Concord,Rural,,,"$197,649",New Hampshire,Concord Hospital,"Morrison, Deane",https://healthit.ahrq.gov/ahrq-funded-projects/electronic-communications-across-provider-settings,Closed,Rural Health,Clinical Decision Support (CDS) System;Clinical Information Systems;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);PDA (Personal Digital Assistant),Electronic Communications Across Provider Settings (New Hampshire)
,Acute Care;Medication Management;Specialty Care,Emergency Department (ED)/Emergency Room (ER),Demonstrating the Value of Health Information Technology,Boston,Non-rural,,,"$756,301",Massachusetts,Children's Hospital Boston,"Porter, Stephen",https://healthit.ahrq.gov/ahrq-funded-projects/parentlink-better-and-safer-emergency-care-children,Closed,Asthma;Pediatric,,ParentLink: Better and Safer Emergency Care for Children (Massachusetts)
,Care Coordination;Protected Health Information Data Sharing;Quality Measurement/Quality Improvement;Specialty Care,Ambulatory;Health Department;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Memphis,Rural,,,"$200,000",Tennessee,"University of Tennessee, Knoxville","Lozzio, Carmen",https://healthit.ahrq.gov/ahrq-funded-projects/improving-quality-care-children-special-needs,Closed,Children with Special Health Care Needs (CSHCN);Pediatric,Clinical Data Repository;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Internet,Improving Quality Care for Children with Special Needs (Tennessee)
,Acute Care;Chronic Disease Management;Primary Care;Quality Measurement/Quality Improvement,Ambulatory,Demonstrating the Value of Health Information Technology,Boston,Non-rural,,,"$1,153,892",Massachusetts,Brigham and Women's Hospital,"Middleton, Blackford",https://healthit.ahrq.gov/ahrq-funded-projects/evaluating-smart-forms-and-quality-dashboards-electronic-health-record-ehr,Closed,Acute Respiratory Infections;Adults;Chronic Care;Coronary Artery Disease;Diabetes,Clinical Decision Support (CDS) System;Results Reporting,Evaluating Smart Forms and Quality Dashboards in an Electronic Health Record (EHR) (Massachusetts)
,,Ambulatory,Health IT Grant,Oklahoma City,Rural,,,"$439,500 funded jointly with AHRQ Primary Care PBRN",Oklahoma,University of Oklahoma Health Sciences Center,"Mold, James",https://healthit.ahrq.gov/ahrq-funded-projects/delivery-preventive-services-primary-care,Closed,,Clinical Decision Support (CDS) System;Clinical Information Systems;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Internet;PDA (Personal Digital Assistant);Wireless Local Area Network,Delivery of Preventive Services in Primary Care (Oklahoma)
,Specialty Care,Ambulatory;Inpatient,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,New Orleans,Non-rural;Rural,,,"$194,499",Louisiana,Louisiana State University Health Sciences Center,"Ferguson, Bruce",https://healthit.ahrq.gov/ahrq-funded-projects/cardiovascular-care-disparities-safety-net-hit-strategy,Closed,Chronic Care;Congestive Heart Failure (CHF);Coronary Artery Disease;Safety Net,Clinical Decision Support (CDS) System;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO),Cardiovascular Care Disparities: Safety-Net HIT Strategy (Louisiana)
,Acute Care;Quality Measurement/Quality Improvement,Ambulatory;Inpatient,Demonstrating the Value of Health Information Technology,Oakbrook Terrace,Non-rural;Rural,,,"$1,344,668",Illinois,Joint Commission,"Koss, Richard",https://healthit.ahrq.gov/ahrq-funded-projects/toward-optimal-patient-safety-information-system,Closed,,Computerized Provider Order Entry (CPOE);Results Reporting;Standards,Toward an Optimal Patient Safety Information System (Illinois)
,Medication Management;Protected Health Information Data Sharing,Ambulatory;Inpatient;Pharmacy,Transforming Healthcare Quality Through Information Technology (THQIT) - Planning Grants,Marshfield,Rural,,,"$167,781",Wisconsin,St. Joseph's Hospital,"Gribble, Robert",https://healthit.ahrq.gov/ahrq-funded-projects/planning-rural-prescription-medication-network,Closed,Rural Health,Bar Coding;Clinical Data Repository;Computerized Provider Order Entry (CPOE);Electronic Medical Record (EMR)/Electronic Health Record (EHR);Health Information Exchange (HIE)/Regional Health Information Organization (RHIO);Pharmacy Information System,Planning for a Rural Prescription Medication Network (Wisconsin)
